icao24,callsign,paese,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp_raccolta
39de4a,TVF49MD ,France,1787658188,1787658188,11.2051,41.6632,11277.6,False,247.6,129.94,0.0,,11894.82,0214,False,0,2026-08-25 11:43:14.978701
39de4d,TVF28CY ,France,1787658188,1787658188,8.5456,44.8515,10965.18,False,207.76,318.61,0.0,,11445.24,5520,False,0,2026-08-25 11:43:14.978701
39de59,TVF82QK ,France,1787658187,1787658188,10.3015,42.8062,8397.24,False,250.66,135.75,-5.2,,8877.3,1000,False,0,2026-08-25 11:43:14.978701
39de47,TVF36VX ,France,1787658188,1787658188,13.8435,41.0101,11582.4,False,212.35,296.32,0.65,,12214.86,,False,0,2026-08-25 11:43:14.978701
39de42,TVF8964 ,France,1787658152,1787658180,7.7086,37.4965,11887.2,False,233.53,154.0,0.33,,12595.86,7647,False,0,2026-08-25 11:43:14.978701
4acb02,NSZ2893 ,Sweden,1787658188,1787658188,12.7114,46.5965,11582.4,False,249.67,41.41,0.0,,12016.74,0456,False,0,2026-08-25 11:43:14.978701
4acb04,NSZ3YT  ,Sweden,1787658188,1787658188,8.4191,45.4687,10149.84,False,226.78,198.52,-4.88,,10591.8,1000,False,0,2026-08-25 11:43:14.978701
471efe,WMT6Z   ,Hungary,1787658027,1787658027,17.2424,41.3574,10058.4,False,260.23,119.1,0.33,,10629.9,,False,0,2026-08-25 11:43:14.978701
471efc,WMT6QH  ,Hungary,1787658188,1787658188,9.8951,45.5671,5326.38,False,182.17,255.61,-13.33,,5577.84,1176,False,0,2026-08-25 11:43:14.978701
44029f,AUA589  ,Austria,1787658187,1787658188,11.8456,42.6898,10660.38,False,224.72,194.45,0.0,,11231.88,7155,False,0,2026-08-25 11:43:14.978701
3d3842,DETOC   ,Germany,1787658188,1787658188,11.7869,45.2703,373.38,False,50.45,11.77,-0.65,,403.86,2000,False,0,2026-08-25 11:43:14.978701
3d3843,DETOD   ,Germany,1787658013,1787658013,11.8278,45.3786,251.46,False,36.83,118.35,-3.25,,342.9,2000,False,0,2026-08-25 11:43:14.978701
440248,EJU19EG ,Austria,1787658188,1787658188,9.3629,45.6284,2667.0,False,145.81,36.1,14.96,,2804.16,1000,False,0,2026-08-25 11:43:14.978701
